;APCE2G_APCE3D;APCE3G_APCE4D;APCE4G_APCE5D;APCE5G_APCE6D;APCE6G_APCE7D;APCE7G_APCE8D;APCE8G_APCE9D;APCE9G_APCE10D;APCE10G_APCE11D;APCE11G_APCE12D;APCE12G_APCE13D;APCE13G_APCE14D;APCE14G_APCE15D;APCE15G_APCE16D;MLH1E2G_MLH1E3D;MLH1E3G_MLH1E4D;MLH1E4G_MLH1E5D;MLH1E5G_MLH1E6D;MLH1E6G_MLH1E7D;MLH1E7G_MLH1E8D;MLH1E8G_MLH1E9D;MLH1E9G_MLH1E10D;MLH1E10G_MLH1E11D;MLH1E11G_MLH1E12D;MLH1E12G_MLH1E13D;MLH1E13G_MLH1E14D;MLH1E14G_MLH1E15D;MLH1E15G_MLH1E16D;MLH1E16G_MLH1E17D;MLH1E17G_MLH1E18D;MLH1E18G_MLH1E19D;MSH2E2G_MSH2E3D;MSH2E3G_MSH2E4D;MSH2E4G_MSH2E5D;MSH2E5G_MSH2E6D;MSH2E6G_MSH2E7D;MSH2E7G_MSH2E8D;MSH2E8G_MSH2E9D;MSH2E9G_MSH2E10D;MSH2E10G_MSH2E11D;MSH2E11G_MSH2E12D;MSH2E12G_MSH2E13D;MSH2E13G_MSH2E14D;MSH2E14G_MSH2E15D;MSH2E15G_MSH2E16D;MSH2E17G_MSH2E18D;MSH6E2G_MSH6E3D;MSH6E3G_MSH6E4D;MSH6E4G_MSH6E5D;MSH6E5G_MSH6E6D;MSH6E6G_MSH6E7D;MSH6E7G_MSH6E8D;MSH6E8G_MSH6E9D;MSH6E9G_MSH6E10D;MUTYHE2G_MUTYHE3D;MUTYHE3G_MUTYHE4D;MUTYHE4G_MUTYHE5D;MUTYHE5G_MUTYHE6D;MUTYHE6G_MUTYHE7D;MUTYHE7G_MUTYHE8D;MUTYHE8G_MUTYHE9D;MUTYHE9G_MUTYHE10D;MUTYHE10G_MUTYHE11D;MUTYHE11G_MUTYHE12D;MUTYHE12G_MUTYHE13D;MUTYHE13G_MUTYHE14D;MUTYHE14G_MUTYHE15D;MUTYHE15G_MUTYHE16D;PTENE2G_PTENE3D;PTENE3G_PTENE4D;PTENE4G_PTENE5D;PTENE5G_PTENE6D;PTENE6G_PTENE7D;PTENE7G_PTENE8D;PTENE8G_PTENE9D;SMAD4E2G_SMAD4E3D;SMAD4E3G_SMAD4E4D;SMAD4E4G_SMAD4E5D;SMAD4E5G_SMAD4E6D;SMAD4E6G_SMAD4E7D;SMAD4E7G_SMAD4E8D;SMAD4E8G_SMAD4E9D;SMAD4E9G_SMAD4E10D;SMAD4E10G_SMAD4E11D;SMAD4E11G_SMAD4E12D;STK11E2G_STK11E3D;STK11E3G_STK11E4D;STK11E4G_STK11E5D;STK11E5G_STK11E6D;STK11E6G_STK11E7D;STK11E7G_STK11E8D;STK11E8G_STK11E9D;STK11E9G_STK11E10D;TP53E2G_TP53E3D;TP53E3G_TP53E4D;TP53E4G_TP53E5D;TP53E5G_TP53E6D;TP53E6G_TP53E7D;TP53E7G_TP53E8D;TP53E8G_TP53E9D;TP53E9G_TP53E10D;TP53E10G_TP53E11D
3001_Ok_Cocar;9197;25081;37088;13939;52900;49569;45563;30943;28917;21864;32762;30991;21764;27564;13023;9179;14931;15364;9015;4354;13325;6505;7633;9364;16743;12954;5268;4237;6503;8109;9160;8300;10802;17395;12866;8949;6778;5139;7838;3921;4812;5086;6043;7904;3493;29;5133;11174;8894;12251;7654;8915;8791;5449;762;1642;1627;1231;1387;1718;493;290;334;442;844;1665;3766;2299;986;4696;8407;19642;17559;17764;7877;88663;28827;19664;57190;72557;59022;67276;61145;35382;14114;40139;43823;9749;12039;24538;16344;8948;1987;7345;4339;2432;11433;9811;14480;18518;8435;7224
3002_Ok_Cocar;10718;26048;37820;15057;42930;39674;33376;25287;24743;15409;25457;25317;18617;22176;10316;7656;12460;11276;7217;4018;11468;5597;6105;6973;13474;10569;4617;2782;5191;6117;7038;10004;12568;18190;15494;11683;8255;6080;8747;4896;5806;5749;6591;9076;3778;40;5223;9074;5992;8639;6619;6394;5718;3938;688;1620;1425;1009;1061;1196;407;328;303;366;664;1669;3800;2865;1214;4953;6756;13751;13102;13376;5691;79703;27315;21201;66621;99093;82838;62159;53109;31958;13514;40640;40716;9373;13433;23947;17586;8477;1928;5694;3319;2228;9156;8088;11400;14377;6261;6079
3003_Ok_Cocar;13223;33006;48916;18275;64883;59246;53964;38202;34906;25407;38425;39176;27127;32348;12926;9106;14895;14514;8750;4758;13360;6208;6809;7563;16039;11811;5183;3312;6215;7721;9337;8746;11217;16444;12616;9200;6455;5203;7691;4202;5045;4953;5823;8071;3211;25;7032;11551;8409;12139;8501;9065;8747;6080;597;1742;1642;1261;1451;1552;410;317;277;334;572;1536;3768;2414;1160;5419;9683;20169;20816;14931;7714;89585;29925;22948;55780;69119;55290;63319;58808;42245;17077;19851;20701;4098;5085;12824;9492;4071;1004;6974;3971;2178;9880;9901;13791;17670;7338;6875
3004_Ok_Cocar;42564;105177;155923;56060;198683;184636;164445;127351;103625;80689;120568;122194;85034;99021;46165;31656;57998;57181;33858;13779;54091;23568;28901;32956;66500;51786;20110;12432;22512;29101;30932;41071;50590;75572;61135;44626;31987;24202;33496;17351;20688;22988;27251;38137;15956;80;13724;40222;24870;37552;23253;24351;24595;15942;2435;6773;6262;5551;5541;6754;1821;1226;1269;1718;2599;6945;14774;9222;2321;16594;33184;101229;87486;65457;28717;322530;105725;73933;184760;284018;208122;227960;191534;106856;40175;52351;48050;9408;14771;27722;17377;10404;2017;23996;12893;6961;32930;29230;44341;58326;26980;22115
3006_Ok_Cocar;10097;24595;33740;13009;44565;40191;34414;25570;22640;16016;24875;26734;16984;20875;11740;9124;14715;13814;7572;4364;12535;6480;7196;8416;16743;12122;5771;3228;6137;7163;8129;14983;18980;26996;21952;16695;12237;9219;12494;7398;8280;8921;10464;12936;4974;50;5500;10672;7836;11383;8567;8626;8003;5316;847;2563;2382;1746;1812;2244;821;517;621;787;1069;2270;3909;2330;1296;4988;8176;16895;15572;16001;6862;73201;27234;20417;50727;68622;51219;60337;53563;38840;16177;31629;30273;7119;9702;19958;14695;7434;1732;9381;5041;3030;12580;11541;18328;23078;10389;8602
3017_Ok_Cocar;12546;29768;43743;19764;45783;41183;37101;27487;29512;19791;28756;29189;20957;24371;10719;8414;13627;12420;8328;4713;14071;7020;7969;8861;17041;12258;5234;3179;5345;6489;7294;8069;10159;14212;11933;9510;5954;4568;6703;3752;4384;4553;5363;6373;2511;28;7262;12457;7631;10499;8211;6929;5954;3441;887;1916;1479;1091;1067;1580;714;453;556;521;909;2103;4445;2933;1579;7160;9443;16877;16527;17200;7124;92763;35936;28105;92610;138562;110089;78756;67942;47537;20517;28615;30395;7554;10573;17979;12564;6668;1540;8765;5438;3516;13967;11683;15800;19862;9163;8368
3018_Ok_Cocar;9446;22724;32384;12921;44573;39116;35966;26686;25043;18813;28019;29961;18907;21241;11777;9247;13819;13542;8160;4600;12983;6004;7057;7904;15919;11738;4862;3116;5649;6592;7955;9984;12682;18708;15335;11098;9066;6697;9418;5462;6306;6417;7517;10124;3858;24;4108;7683;5936;9423;7044;7279;6412;4470;821;1748;1756;1215;1572;1521;508;413;496;554;775;1670;3384;2111;917;4166;6829;15194;16665;12393;5980;70177;22681;16233;51121;64989;52264;56760;53040;38593;16361;20873;20642;4797;6228;12525;9541;4224;1014;6927;3611;2190;9041;7697;12355;15300;6824;6143
3019_Ok_Cocar;7767;19017;28505;14215;37004;35525;33324;24389;23882;17596;24187;22594;15800;17208;9746;7389;10945;10504;6529;3606;9586;4452;5098;6700;12819;9943;3990;2831;4691;5876;6965;7420;9372;15179;11121;8322;6380;4613;6840;3572;4477;4473;5061;6584;2597;29;4227;7922;6120;8715;5437;6008;6050;3616;671;1903;1893;1261;1384;1774;502;337;330;459;720;1479;3274;2038;1430;5969;9019;17795;17414;15931;7510;69583;21001;15701;48382;54429;49787;52916;52111;33976;14252;19634;24736;5347;5540;13709;9488;4464;1274;5028;3556;1940;9154;7308;10533;15027;6390;6074
3020_Ok_Cocar;12326;28059;40906;17397;51909;45684;40590;29697;29678;19358;30236;30958;21536;24788;12392;9644;14694;13602;8786;4822;14005;6550;7361;8800;17615;12613;5579;3363;6104;7289;8135;10771;13706;19282;15569;11563;8125;6021;8961;5054;5851;6053;7197;8815;2928;28;5269;8583;5925;9913;7538;6999;5893;3673;911;2312;2027;1659;1684;1981;703;456;445;557;965;2106;4810;3141;1357;3692;6322;17913;20195;5940;4656;86951;29775;22842;72377;92646;81174;68888;62809;42868;18673;28268;28830;7139;9190;17486;12989;6220;1521;7815;4721;2985;11624;10285;14843;18705;8916;7999
3022_Ok_Cocar;11448;28225;40789;16756;56608;51527;47478;35499;32163;24254;36602;37087;26017;29853;14638;10337;16205;15447;9654;5043;15057;6785;7441;8596;17587;13409;6265;4132;7001;8086;9429;12763;16039;24262;18768;13733;10479;8460;11832;6398;7656;7911;9336;12556;4854;90;6176;13148;8824;13811;10375;9799;9266;6402;899;2096;1914;1596;1603;2050;540;384;399;566;922;2210;4860;3483;1226;4616;7386;17272;16215;16194;7439;91271;29054;21813;61788;70462;62235;66733;60157;38090;16506;29987;30649;6670;8507;17653;13046;6264;1611;9479;5208;3116;13374;12276;18073;23047;10812;10242
